id;name;number;is_section;about;home_work_abouts;file_url
1;Clothing wireless Computers;2516;true;Roads;Global Mandatory Dynamic;Wooden Shoes Bedfordshire
2;Savings Account Bedfordshire Global;89459;true;Drive Fantastic Steel Table;solid state;port Chips
3;Generic Steel Table;63613;false;benchmark;bandwidth;Granite Granite
4;Accounts Direct Handcrafted Wooden Hat;31150;true;Mouse;web services IB;override
5;Rubber frame client-driven;41309;false;District 5th generation Saint Lucia;functionalities;violet intuitive
6;Senior Health;46864;true;quantify;applications orchid;sky blue infrastructure payment
7;AGP user-centric Kids;36824;false;intuitive Fresh Web;Incredible local area network withdrawal;customer loyalty synergies mobile
8;Multi-lateral;52659;false;magenta Maryland budgetary management;Berkshire intangible cross-platform;Berkshire user-facing
9;parsing HTTP Stand-alone;93893;false;Regional;virtual Diverse;Unbranded Legacy
10;Coordinator;67776;true;Metrics Burundi;mint green Central Liaison;Executive invoice XML
