id;name;about;duration;file_url
1;Program;architectures Representative zero administration;harness;back-end
2;Incredible Intelligent;cultivate Metal;bus Indiana Granite;schemas
3;South Carolina;Fantastic Frozen Chair connecting yellow;deposit;Maine
4;Awesome Cotton Cheese cohesive RAM;holistic Kyrgyz Republic Sleek;Berkshire;Rhode Island
5;Dynamic Soft Maldives;synthesizing;Louisiana metrics Home Loan Account;Table
6;asynchronous Handmade;Hat olive Avon;plug-and-play;functionalities context-sensitive
7;maroon Berkshire Mississippi;vortals;complexity bandwidth cross-platform;Security
8;Fish;Generic attitude-oriented;lavender;cyan Minnesota
9;Decentralized Officer;Delaware SMTP leverage;Industrial;withdrawal Home Loan Account
10;Small cross-platform;invoice;deposit content intermediate;neural
