id;title;short_text;full_text;created_date;active;image_url
1;niches Small;Compatible Pa'anga hack;../fake-data/blob/hipster.txt;2020-12-28;false;Gloves Fiji Cheese
2;Consultant analyzing;Grocery;../fake-data/blob/hipster.txt;2020-12-28;false;Ball maximize
3;array card North Korean Won;Directives synthesizing;../fake-data/blob/hipster.txt;2020-12-27;false;platforms bandwidth
4;Electronics invoice Tasty Rubber Sausages;Kids Security Quality;../fake-data/blob/hipster.txt;2020-12-27;false;Home Loan Account e-services override
5;cohesive;Investment Account Som;../fake-data/blob/hipster.txt;2020-12-28;true;withdrawal Small Soft Computer
6;Reverse-engineered Checking Account;CSS Aruban Guilder;../fake-data/blob/hipster.txt;2020-12-27;false;cross-platform contextually-based Cotton
7;hack Fresh;payment Programmable;../fake-data/blob/hipster.txt;2020-12-27;true;tan multimedia
8;multimedia web-enabled;North Korean Won Rupiah;../fake-data/blob/hipster.txt;2020-12-27;true;Inlet Rwanda
9;Investor;New Jersey PNG HTTP;../fake-data/blob/hipster.txt;2020-12-27;false;transmitting Granite encryption
10;Front-line Incredible hacking;back-end interface;../fake-data/blob/hipster.txt;2020-12-28;false;matrix local area network capacitor
